Address	County	OldPrice	NewPrice	Date
APT 15, SANDON COVE, CASTLE AVE DUBLIN 3	Dublin	295,000.00	342200	01/01/21
APT 32, DANES COURT, CLONTARF RD DUBLIN 3	Dublin	310,000.00	406100	01/01/21
16 BURLEIGH COURT, BURLINGTON ROAD, DUBLIN 4	Dublin	450,000.00	508500	03/01/21
1 CASTLEGAL CROSS, CLIFFONEY, CO. SLIGO	Sligo	148,000.00	165760	04/01/21
1 PLAZA  VIEW, FAIR GREEN, MALLOW	Cork	158,590.30	220440.517	04/01/21
1 THE BIRCHES, TUAM, CO GALWAY	Galway	153,000.00	194310	04/01/21
10 CAPPAGH, MOHILL, LEITRIM	Leitrim	80,000.00	110400	04/01/21
10 RIVERCOURT, GRATTAN QUAY, WATERFORD	Waterford	100,000.00	109000	04/01/21
11 RIVERVISTA, OUGHTERARD, GALWAY	Galway	91,000.00	120120	04/01/21
12 Oileain Na Cranoige.Cranogue Isl, Balbutcher Lane, BALLYMUN	Dublin	192,951.00	216105.12	04/01/21
13 ARDSALLAGH WOODS, ROSCOMMON, ROSCOMMON	Roscommon	237,000.00	237000	04/01/21
14 Oak Park Square, Oak Park, Craddockstown	Kildare	290,748.88	351806.1448	04/01/21
16 COIS TEAMPAILL, FOYNES ROAD, NEWCASTLE WEST	Limerick	120,000.00	147600	04/01/21
17 Belltree Lane, Beltree, Clonggriffin	Dublin	343,612.00	384845.44	04/01/21
19 EFFERNOCK MANOR, DUBLIN RD, TRIM	Meath	361,000.00	389880	04/01/21
19A CLIONA PARK, MOYROSS, CO LIMERICK	Limerick	175,000.00	231000	04/01/21
2 BRODAGH VIEW, CRUSHEEN, CLARE	Clare	176,000.00	170720	04/01/21
2 MARINO ST, BANTRY, CORK	Cork	80,000.00	102400	04/01/21
2 St Judes, Heynestown, Old Dublin Road	Louth	339,207.05	390088.1075	04/01/21
20 SAUNDERS COURT, MULLINGAR, WESTMEATH	Westmeath	155,000.00	165850	04/01/21
20b Oakfield Manor, Tullaghan	Leitrim	65,000.00	89050	04/01/21
